,negative,positive,total
indexes,1,0,1
india,1,4,5
indian,1,2,3
indiana,1,0,1
indie,0,3,3
indigenous,0,1,1
indisputable,0,1,1
individuals,1,0,1
indonesian,0,1,1
indoors,1,0,1
indowebster,0,1,1
induced,2,0,2
induces,0,1,1
inducted,0,1,1
indulge,0,1,1
industry,0,1,1
indy,0,1,1
inertia,0,1,1
inevitable,1,3,4
infact,0,1,1
infamous,1,0,1
infatuated,0,1,1
infected,1,0,1
infection,6,0,6
inflicted,0,1,1
influence,0,1,1
influenza,1,0,1
info,6,9,15
informatic,1,0,1
information,1,3,4
informations,1,0,1
informative,0,1,1
infrastructure,1,0,1
infront,1,0,1
ing,2,4,6
ingrained,1,0,1
ingredient,1,0,1
ingredients,0,1,1
inhibits,1,0,1
init,1,0,1
initial,0,1,1
initiatives,2,0,2
injected,0,1,1
injured,4,0,4
injury,0,2,2
ink,2,0,2
inner,2,0,2
innocent,0,1,1
ino,1,0,1
input,0,2,2
ins,1,0,1
insane,2,3,5
insecure,1,1,2
inseperable,1,0,1
insert,1,0,1
inside,14,11,25
insights,0,1,1
insirstion,0,1,1
insomnia,2,2,4
inspected,1,0,1
inspection,1,0,1
inspiration,4,4,8
inspirational,1,0,1
inspire,0,1,1
inspired,1,1,2
inspiring,1,0,1
install,2,1,3
installation,1,1,2
installed,1,4,5
installer,0,1,1
installing,1,2,3
installs,1,0,1
instantly,1,1,2
instead,9,6,15
institutions,0,1,1
instructions,0,1,1
instruments,0,1,1
insubordination,1,0,1
insulted,1,0,1
insurance,3,1,4
int,0,1,1
integer,1,0,1
integrate,0,3,3
integrated,1,0,1
intelligent,0,2,2
intended,1,0,1
intending,0,1,1
intense,0,2,2
intensive,1,0,1
intensively,0,1,1
intentional,0,1,1
interaction,0,1,1
interested,1,7,8
interesting,11,26,37
interface,0,1,1
interference,1,0,1
interiors,0,1,1
internal,1,1,2
international,1,1,2
internet,24,16,40
internets,2,0,2
interns,1,0,1
internship,2,1,3
interpret,0,1,1
interpretor,0,1,1
interruption,0,1,1
interview,7,15,22
interviewing,0,1,1
interviews,0,1,1
interwebs,0,2,2
interwebz,1,0,1
into,28,47,75
intro,0,2,2
introduced,0,1,1
introducing,0,1,1
intruder,0,1,1
intvu,1,0,1
invent,1,0,1
inventive,0,1,1
inventor,0,1,1
investigate,0,1,1
invisible,2,0,2
invite,2,5,7
invited,3,0,3
invites,0,1,1
involve,2,0,2
involved,1,1,2
iou,1,0,1
iowa,0,1,1
ipb,0,1,1
iphone,26,16,42
iphones,0,1,1
iphoto,0,1,1
ipink,1,0,1
iplayer,2,0,2
ipod,11,12,23
ipt,0,1,1
iran,1,0,1
iranelection,4,0,4
iraq,0,1,1
irb,1,0,1
ireland,1,2,3
irish,1,1,2
iritatng,1,0,1
irl,0,1,1
iron,5,4,9
irrational,0,1,1
irregular,0,1,1
irrelevant,0,1,1
irreparable,0,1,1
irresistible,0,1,1
irresponsible,1,1,2
irritable,1,0,1
irritating,1,0,1
is,877,727,1604
isa,1,2,3
isabeau,1,0,1
isabel,1,0,1
isengard,0,1,1
ish,3,8,11
ishihara,0,1,1
ishtudei,1,0,1
island,0,2,2
islands,1,0,1
isle,1,0,1
isme,1,0,1
isn,37,13,50
isnt,4,0,4
isobel,0,1,1
isolation,0,1,1
isorrie,1,0,1
ispunk,1,0,1
issue,6,0,6
issues,1,2,3
ist,2,1,3
istilah,0,1,1
istore,0,1,1
it,891,1026,1917
italia,0,1,1
italian,4,3,7
italienische,1,0,1
italy,1,0,1
itc,0,1,1
itching,1,0,1
itchyyy,1,0,1
item,0,2,2
items,1,2,3
ith,0,1,1
itinerary,1,0,1
itlay,1,0,1
its,173,128,301
itself,0,1,1
itsuki,1,0,1
itt,1,0,1
itttsss,0,1,1
itunes,7,6,13
iuehasxb,0,1,1
ius,1,0,1
iv,2,0,2
ive,17,9,26
ivent,0,1,1
ives,0,1,1
ivy,1,0,1
iwas,0,1,1
iz,0,1,1
izon,0,1,1
izzo,0,1,1
jaa,1,0,1
jaaaaaah,0,1,1
jaadu,0,1,1
jab,1,0,1
jac,0,1,1
jace,0,1,1
jack,1,3,4
jacked,2,0,2
jackee,1,0,1
jackets,0,1,1
jackman,0,1,1
jacks,1,0,1
jackson,1,0,1
jacksonville,0,1,1
jacky,0,1,1
jacob,1,0,1
jacobs,1,1,2
jacqui,0,1,1
jacuzzi,0,1,1
jai,0,3,3
jail,2,2,4
jailbreak,1,0,1
jailbreakland,1,0,1
jakarta,3,0,3
jake,0,1,1
jakob,1,0,1
jam,1,2,3
jamaica,1,0,1
jamba,1,0,1
james,3,3,6
jamie,1,0,1
jammie,0,1,1
jammin,0,1,1
jamming,0,1,1
jammy,0,1,1
jan,0,1,1
jane,1,2,3
janets,0,1,1
janis,0,1,1
january,2,0,2
japan,4,2,6
japanese,1,0,1
jar,0,2,2
jared,0,5,5
jargons,0,1,1
jarnail,0,2,2
jas,0,1,1
jasmine,0,2,2
jason,2,0,2
jaunty,2,0,2
jaw,1,1,2
jawab,1,0,1
jax,1,1,2
jay,2,5,7
jaye,1,0,1
jaz,0,1,1
jb,2,2,4
je,0,1,1
jealous,9,9,18
jealousy,1,0,1
jeans,1,7,8
jeep,2,0,2
jeepers,0,1,1
jeez,2,0,2
jeff,0,1,1
jeffree,1,2,3
jelez,1,0,1
jello,1,0,1
jelly,0,1,1
jelous,1,1,2
jenga,1,0,1
jennifer,0,2,2
jenny,0,3,3
jennys,1,1,2
jep,0,1,1
jeremy,0,2,2
jerk,5,2,7
jerry,0,1,1
jers,1,0,1
jersey,1,2,3
jess,0,1,1
jesse,1,0,1
jessica,0,3,3
jesus,1,3,4
jet,1,0,1
jeter,0,1,1
jetski,1,0,1
jhann,1,0,1
jhoke,0,1,1
jif,0,1,1
jigglefest,1,0,1
jill,4,1,5
jim,1,2,3
jimmy,1,0,1
jingles,1,0,1
jings,1,0,1
jinro,0,1,1
jinx,1,0,1
jinxed,2,0,2
jinxs,1,0,1
jix,0,1,1
jizzin,0,1,1
jj,1,0,1
jjust,1,0,1
jk,5,4,9
jo,4,5,9
job,32,27,59
jobs,3,1,4
joburg,0,1,1
joe,4,3,7
joel,1,0,1
joesus,1,0,1
joey,2,4,6
jog,0,2,2
jogging,0,2,2
johanna,0,1,1
john,3,4,7
johnnie,0,1,1
johnny,2,1,3
johnson,0,2,2
join,6,10,16
joined,2,7,9
joining,1,1,2
joke,5,1,6
jokejokejoke,1,0,1
jokes,2,2,4
joking,1,0,1
jolie,0,1,1
jon,1,16,17
jonandkate,1,0,1
jonanthan,0,1,1
jonas,2,2,4
jonathan,0,2,2
jones,1,0,1
jonny,1,0,1
joolz,0,1,1
jooooordan,0,1,1
jop,0,1,1
joplin,0,1,1
jordan,4,10,14
jorie,1,0,1
jose,1,3,4
josef,0,1,1
josh,2,0,2
joshua,2,0,2
josui,0,1,1
journal,1,1,2
journalism,0,1,1
journalists,0,1,1
journey,3,0,3
journo,0,1,1
joy,4,11,15
joypod,1,0,1
joys,2,0,2
jpeg,0,1,1
jpegs,0,1,1
jpp,0,1,1
jr,2,0,2
js,0,1,1
jsmith,1,0,1
jst,0,1,1
jsut,1,1,2
jt,3,0,3
jtv,1,0,1
juan,1,0,1
juani,1,0,1
juat,1,0,1
jubilee,0,1,1
judge,0,1,1
judging,0,1,1
juggernaut,0,1,1
juggle,0,1,1
juice,4,2,6
juin,1,0,1
jujubee,1,0,1
julie,0,1,1
juliet,0,1,1
july,20,0,20
julyyyyy,0,1,1
jump,2,5,7
jumped,1,2,3
jumper,1,0,1
jumping,1,3,4
jumps,0,2,2
june,6,2,8
jungle,2,1,3
juni,1,0,1
junior,2,0,2
juniors,0,1,1
junk,1,2,3
juntar,1,0,1
jur,1,0,1
jury,1,1,2
jus,4,5,9
juss,1,0,1
jusssstt,0,1,1
just,434,421,855
justheard,0,1,1
justice,1,1,2
justifications,1,0,1
justin,1,1,2
justine,0,1,1
juz,0,2,2
jw,1,1,2
jzfflms,0,1,1
ka,3,0,3
kaayphone,0,1,1
kade,0,1,1
kae,1,0,1
kai,0,1,1
kaifeng,1,0,1
kailun,1,0,1
kaiser,0,1,1
kak,0,1,1
kal,0,1,1
kanina,0,1,1
kannagi,1,0,1
kanye,0,1,1
karaok,0,1,1
karaoke,1,1,2
karate,0,2,2
kardashian,0,1,1
karhi,0,1,1
karin,0,1,1
karina,1,0,1
karleigh,0,1,1
karma,3,2,5
karna,1,0,1
karro,0,1,1
kart,1,0,1
kasal,0,1,1
kasi,0,1,1
kat,2,1,3
katawa,1,0,1
kate,0,2,2
katesparty,0,1,1
katie,2,4,6
katies,0,1,1
katt,0,1,1
katy,2,1,3
kaushal,0,1,1
kawans,0,1,1
kay,0,2,2
kayaking,1,0,1
kaye,1,0,1
kayleigh,1,0,1
kb,0,1,1
kben,1,0,1
kbow,0,1,1
kbps,1,0,1
kc,0,2,2
kcc,1,0,1
kdkiqfbs,0,1,1
keally,0,1,1
keeen,0,1,1
keep,39,27,66
keepall,1,0,1
keeper,1,0,1
keepin,0,1,1
keeping,4,5,9
keeps,10,2,12
keine,1,0,1
keith,0,3,3
kelli,0,1,1
kelly,3,4,7
kellys,1,0,1
ken,1,0,1
kena,1,0,1
kennel,0,1,1
kenny,1,1,2
kent,0,1,1
kentucky,1,0,1
kenya,0,2,2
kept,5,5,10
ker,1,0,1
kerr,1,0,1
kevin,3,3,6
kevlar,0,1,1
kewl,0,2,2
key,2,1,3
keyboard,5,3,8
keyed,1,0,1
keygenkeyg,0,1,1
keynote,0,2,2
keyring,0,1,1
keys,6,2,8
keyword,0,1,1
keywords,0,1,1
kfanyc,0,1,1
kfest,1,0,1
khan,0,1,1
khichdi,1,0,1
khloe,1,0,1
kick,2,6,8
kickboxing,0,1,1
kicked,4,0,4
kicking,5,3,8
kicks,0,1,1
kid,9,6,15
kiddies,0,1,1
kiddin,0,2,2
kidding,1,2,3
kiddo,1,0,1
kiddos,0,1,1
kidnapped,1,0,1
kidney,2,0,2
kids,20,23,43
kidscleaning,0,1,1
kieren,1,0,1
kilian,0,1,1
kill,9,5,14
killed,5,1,6
killer,0,1,1
killerjo,0,1,1
killers,1,0,1
killing,10,2,12
killings,1,0,1
kills,1,0,1
kim,2,2,4
kimberface,1,0,1
kinabalu,0,1,1
kind,16,7,23
kinda,14,13,27
kindergarten,2,1,3
kinderporno,0,1,1
kindle,1,0,1
kindoff,1,0,1
kindred,0,1,1
kinds,2,2,4
king,5,1,6
kingda,1,0,1
kingdomguard,0,1,1
kings,0,1,1
kingston,0,1,1
kinky,0,1,1
kinokuniya,1,0,1
kir,1,0,1
kiraa,0,1,1
kirilenko,1,0,1
kirstie,0,1,1
kisha,0,1,1
kisi,1,0,1
kiss,3,2,5
kissed,0,1,1
kisses,0,1,1
kissing,1,0,1
kit,1,0,1
kita,1,0,1
kitchen,2,3,5
kittee,1,0,1
kitteh,0,1,1
kitten,4,0,4
kittenz,1,0,1
kitties,1,2,3
kitty,8,2,10
kiwi,0,4,4
kiya,0,1,1
kjaslgja,1,0,1
kleenexes,1,0,1
klg,1,1,2
klide,0,1,1
km,0,1,1
kming,0,1,1
kml,0,1,1
knee,4,1,5
knees,3,0,3
knew,10,10,20
knife,1,0,1
knight,1,6,7
knighty,0,1,1
knihy,0,1,1
knitted,0,1,1
knives,1,0,1
knnow,0,1,1
kno,4,2,6
knobs,0,1,1
knocked,0,1,1
knocking,0,1,1
knocky,0,1,1
knoooooooo,1,0,1
knorr,0,1,1
knot,1,0,1
know,162,170,332
knowing,1,3,4
known,3,2,5
knows,4,8,12
knoww,1,0,1
knowww,1,0,1
knw,3,1,4
knwo,2,0,2
ko,1,3,4
koala,0,1,1
kodachrome,1,0,1
kodoliga,0,1,1
koi,0,1,1
kok,0,1,1
kol,0,1,1
kong,3,2,5
konqueror,1,0,1
kooks,1,0,1
koolaid,1,1,2
koon,1,0,1
korea,2,2,4
korean,0,1,1
koreans,0,2,2
koree,1,0,1
korey,0,1,1
kotor,0,1,1
kp,1,0,1
kristin,0,1,1
krudd,0,1,1
kryptonite,0,1,1
kryten,0,1,1
kuantan,0,1,1
kuching,0,1,1
kudos,0,1,1
kuliah,1,0,1
kumar,0,1,1
kung,0,1,1
kurb,0,1,1
kutcher,0,1,1
kutner,0,3,3
kuwait,1,0,1
kuya,0,1,1
kwaito,0,1,1
kxjbq,0,1,1
ky,0,2,2
kyiv,0,1,1
kyle,0,1,1
kyoto,0,2,2
kyte,0,1,1
kz,1,0,1
la,14,19,33
lab,5,0,5
label,0,1,1
labeouf,0,1,1
labor,1,0,1
labourers,0,1,1
labs,0,1,1
labyrinth,0,1,1
laci,1,0,1
lack,4,4,8
lacking,1,1,2
lacrosse,1,0,1
lad,0,1,1
ladies,2,1,3
lads,0,1,1
lady,14,9,23
ladyhawke,0,1,1
ladys,0,1,1
ladytron,0,1,1
laff,1,0,1
lafilmfest,1,0,1
laguna,1,1,2
lah,1,1,2
lahr,0,1,1
laid,1,0,1
laina,1,0,1
lake,7,1,8
lakh,0,1,1
laksa,0,2,2
lalaki,0,1,1
lalala,0,1,1
lallalalla,1,0,1
lamb,0,1,1
lambs,0,2,2
lame,10,5,15
lana,0,1,1
lancaster,1,0,1
lancearmstrong,1,0,1
land,1,6,7
landed,3,1,4
landing,0,1,1
lane,0,5,5
lang,2,1,3
langton,1,0,1
language,2,4,6
languages,1,1,2
languange,1,0,1
lanka,0,1,1
lap,0,2,2
laps,0,1,1
laptop,20,7,27
laptops,1,0,1
large,2,5,7
larger,0,1,1
larry,1,2,3
lars,0,1,1
las,0,2,2
lasagna,1,0,1
laser,0,1,1
lass,1,0,1
last,153,56,209
lasting,0,1,1
lastnight,2,2,4
lasts,1,2,3
lata,0,1,1
late,37,44,81
lateeeee,1,0,1
lately,15,5,20
later,18,35,53
laters,0,1,1
latest,3,6,9
lathkildale,0,1,1
latte,2,5,7
laugh,3,6,9
laughable,0,1,1
laughed,1,2,3
laughen,0,1,1
laughin,0,1,1
laughing,2,6,8
laughs,0,1,1
laughter,0,1,1
launch,2,6,8
launched,1,1,2
launching,1,1,2
laundry,8,7,15
laura,1,0,1
lauren,3,6,9
laus,0,1,1
lautner,1,0,1
lava,1,0,1
lavender,0,1,1
law,2,4,6
lawd,1,0,1
lawed,1,0,1
lawl,0,2,2
laws,1,1,2
lay,2,1,3
layed,1,0,1
layers,1,2,3
layin,1,2,3
laying,8,2,10
layne,1,0,1
layout,3,0,3
layover,0,1,1
lazards,0,1,1
laziness,0,1,1
lazy,6,5,11
lb,1,0,1
lbaq,1,0,1
lbda,1,0,1
lbp,0,1,1
lc,1,0,1
lcr,0,1,1
le,1,2,3
lead,1,1,2
leader,1,0,1
league,0,1,1
leak,2,2,4
leaked,1,0,1
leaking,1,0,1
leaning,0,1,1
leanne,0,1,1
leapt,0,1,1
learn,13,9,22
learned,3,3,6
learning,2,5,7
learnt,0,1,1
least,31,20,51
leav,1,0,1
leave,35,14,49
leavers,2,0,2
leaves,7,0,7
leavin,1,0,1
leaving,26,9,35
lecture,1,0,1
ledisi,1,0,1
lee,1,1,2
leer,1,0,1
left,51,16,67
leftover,0,1,1
leg,3,2,5
legacy,0,1,1
legal,2,2,4
legand,0,1,1
legend,0,3,3
legendary,1,0,1
legit,1,0,1
legitimate,0,1,1
legs,4,0,4
leia,1,0,1
leicester,0,1,1
leighton,1,1,2
lemeeeeees,1,0,1
lemme,0,1,1
lemon,1,0,1
lemonade,0,1,1
lemons,1,0,1
lemur,1,0,1
lend,0,1,1
lendon,1,0,1
length,1,1,2
lengthy,1,0,1
leno,0,1,1
lens,0,2,2
lenses,0,1,1
lent,0,1,1
lenten,0,1,1
leon,0,1,1
lepore,1,0,1
leppard,2,0,2
leprechaun,0,1,1
leran,1,0,1
les,1,0,1
lesbian,0,1,1
leslie,0,1,1
less,18,8,26
lesson,3,3,6
lessons,4,3,7
let,39,53,92
lethargic,1,0,1
lets,6,10,16
letter,2,2,4
letterman,0,1,1
letters,0,1,1
letti,1,0,1
letting,0,3,3
level,1,3,4
levels,0,2,2
levi,1,0,1
levon,0,1,1
lewis,1,1,2
lexi,0,1,1
lexington,0,1,1
lga,1,0,1
lhr,0,1,1
li,1,0,1
liar,0,1,1
lib,0,1,1
libaudio,0,1,1
libby,1,0,1
libcamera,0,1,1
liberator,0,1,1
libey,0,1,1
libigannaaaashe,0,1,1
library,6,1,7
libs,1,0,1
license,1,1,2
licious,0,1,1
lid,1,0,1
liddo,1,0,1
lie,2,3,5
lied,0,1,1
liein,1,0,1
lieing,1,0,1
lies,1,1,2
life,44,72,116
lifebelt,0,1,1
lifeee,1,0,1
lifeguards,1,0,1
lifes,0,2,2
lifesavers,1,0,1
lifetime,1,0,1
light,6,5,11
lightbox,1,1,2
lightening,1,0,1
lighter,0,2,2
lighting,0,1,1
lightning,5,0,5
lightnining,1,0,1
lights,0,1,1
ligo,0,1,1
liiiiiiiiiiiiisten,0,1,1
liiiittle,0,1,1
liipers,0,1,1
like,225,256,481
liked,7,7,14
likely,4,1,5
likes,2,5,7
likewise,0,1,1
liking,3,4,7
lil,11,5,16
lily,0,1,1
lime,1,1,2
limit,1,1,2
limited,4,2,6
limp,1,0,1
lincoln,0,1,1
lindsay,1,0,1
lindsey,1,0,1
lindy,1,0,1
line,11,6,17
lineart,1,0,1
linebreak,1,0,1
linen,0,1,1
liners,0,2,2
lines,1,3,4
lineup,0,1,1
lingers,1,0,1
link,11,19,30
linked,0,3,3
linkin,1,0,1
links,3,4,7
linus,0,1,1
linux,1,0,1
lion,0,2,2
lip,0,2,2
lips,4,0,4
lipton,0,1,1
liqour,0,1,1
liquid,1,2,3
liquor,0,2,2
lisa,2,0,2
lish,1,0,1
lissy,1,0,1
list,9,17,26
listed,0,1,1
listen,5,19,24
listened,4,2,6
listening,11,35,46
listento,1,0,1
listing,0,1,1
lit,0,1,1
literally,2,1,3
literati,0,1,1
lithuania,0,1,1
little,54,46,100
littlebird,0,1,1
littles,1,0,1
littleweeds,0,1,1
littrell,0,1,1
live,30,28,58
lived,5,1,6
livejournal,1,0,1
liver,1,0,1
lives,3,4,7
livestreamed,1,0,1
livin,1,0,1
living,9,4,13
livr,1,0,1
liza,1,0,1
lizards,1,1,2
lizzy,1,0,1
lj,2,1,3
ljubljana,0,1,1
lk,0,1,1
ll,107,178,285
llama,0,1,1
lll,1,0,1
llove,0,1,1
lmao,8,20,28
lmaoo,1,1,2
lmaooo,2,0,2
lmaoooo,1,0,1
lmfao,2,2,4
lmk,1,1,2
lo,0,1,1
load,2,3,5
loads,2,6,8
loadsa,1,0,1
loan,2,0,2
loathe,2,0,2
lobby,1,0,1
lobster,1,0,1
loca,1,0,1
local,1,7,8
localization,0,1,1
locally,0,1,1
locals,0,1,1
locate,1,0,1
location,1,0,1
locavore,0,1,1
lock,1,0,1
locked,4,2,6
locking,1,0,1
log,5,0,5
logan,0,1,1
logged,1,0,1
logging,1,0,1
login,2,1,3
logo,0,2,2
logos,1,2,3
lohan,2,0,2
lokki,0,1,1
lol,105,212,317
lollipops,0,1,1
lolm,0,1,1
lolol,1,3,4
lols,0,2,2
lolx,1,0,1
lolz,0,1,1
lon,1,0,1
london,7,11,18
lone,1,0,1
loneliness,0,1,1
lonely,10,0,10
lonelyandroid,2,0,2
loner,1,0,1
lonesome,1,0,1
long,65,60,125
longer,8,7,15
longgg,2,0,2
longhorn,1,0,1
longo,0,1,1
lonley,1,0,1
look,34,59,93
looked,9,5,14
lookee,0,1,1
lookin,2,2,4
looking,34,54,88
looks,31,33,64
lookthunder,0,1,1
lookup,0,1,1
lool,1,0,1
loom,0,1,1
loooong,0,1,1
looooong,2,1,3
loooooonnnng,0,1,1
looooooong,0,1,1
loooooooong,1,0,1
looooooooooooooove,0,1,1
looooove,1,0,1
looosing,0,1,1
looove,1,0,1
looow,0,1,1
loop,3,0,3
loopy,1,0,1
loose,4,2,6
loosin,1,0,1
loot,0,1,1
lopez,0,4,4
lora,0,1,1
lord,3,1,4
lords,0,1,1
loren,0,1,1
los,4,1,5
lose,7,3,10
loser,2,1,3
loses,1,0,1
losiento,0,1,1
losing,8,1,9
loss,14,2,16
losses,1,0,1
lost,68,12,80
lot,20,31,51
lotion,1,0,1
lots,10,14,24
lotsa,0,2,2
lottanew,1,0,1
lottery,2,0,2
loud,4,2,6
loudly,1,0,1
loudspeaker,1,0,1
louis,1,0,1
louise,3,0,3
louisville,2,0,2
lounge,1,3,4
lousy,2,0,2
lova,0,1,1
lovato,1,2,3
lovatos,1,0,1
love,81,257,338
loved,11,16,27
lovee,0,1,1
loveeeee,0,1,1
loveeeeeeeeeeee,1,0,1
lovelies,1,0,1
loveliest,1,0,1
lovely,8,25,33
lover,1,1,2
lovers,1,0,1
loves,8,15,23
lovesick,1,0,1
lovesit,0,1,1
loveyou,1,0,1
lovin,4,3,7
loving,4,18,22
lovvvved,0,1,1
low,6,2,8
lower,3,0,3
lowering,0,1,1
loyal,0,1,1
loyalty,0,1,1
loz,1,0,1
lp,0,1,1
lps,0,1,1
ls,0,1,1
lsd,0,1,1
lsekoiak,1,0,1
ltd,0,2,2
lu,0,3,3
luca,1,0,1
lucas,1,3,4
luck,11,35,46
luckily,4,0,4
lucky,16,13,29
luckyyyy,1,0,1
lucy,0,1,1
luggage,2,1,3
luigi,1,0,1
lukas,0,1,1
luke,1,2,3
lumea,0,1,1
lump,2,0,2
lunch,53,13,66
lunchbreak,0,1,1
lunchieeee,1,0,1
lunchtime,3,1,4
lung,1,0,1
lungs,1,0,1
lupo,0,1,1
lupus,1,0,1
lurk,0,1,1
lurkers,0,1,1
lush,0,2,2
lust,0,1,1
lutsdoll,0,1,1
luuuuuuuuuuuuuv,1,0,1
luv,1,15,16
luve,0,1,1
luvs,0,1,1
luvved,1,0,1
luy,1,0,1
lvl,0,1,1
lvly,0,1,1
lx,1,0,1
ly,1,2,3
lybrary,1,0,1
lycan,0,1,1
lycee,0,1,1
lyf,1,0,1
lygon,0,1,1
lying,5,3,8
lyk,2,0,2
lynn,0,1,1
lynnnnnn,0,1,1
lyrical,0,1,1
lyrics,0,5,5
lyve,1,0,1
lyy,1,0,1
ma,3,3,6
maaan,0,1,1
maaf,0,1,1
maam,0,2,2
maann,0,1,1
mac,8,8,16
macaddict,1,0,1
macbook,3,3,6
maccas,0,1,1
macdonald,0,1,1
macheist,0,1,1
machiam,1,0,1
machiato,1,0,1
machine,5,6,11
machines,2,0,2
mackey,1,0,1
mackie,0,1,1
macky,0,1,1
macon,0,1,1
macro,0,1,1
mad,18,11,29
madam,0,1,1
madden,0,1,1
maddox,1,0,1
maddy,0,1,1
made,26,47,73
madison,0,1,1
madness,0,2,2
madras,0,1,1
madrid,0,1,1
mae,1,0,1
maemo,0,1,1
mafia,1,0,1
mag,1,4,5
magazine,0,5,5
magazines,1,0,1
magento,0,1,1
maggi,0,1,1
maggie,1,0,1
magic,0,4,4
magners,1,0,1
magnetic,0,1,1
magneto,0,1,1
magnum,2,0,2
mah,3,0,3
mahjong,0,1,1
maid,2,2,4
maiko,0,1,1
mail,11,7,18
mailbox,0,1,1
mailing,1,0,1
mails,3,0,3
main,2,1,3
maine,1,2,3
mainland,0,1,1
mainly,0,1,1
mainstream,0,1,1
maintain,0,1,1
maintance,1,0,1
maintence,1,0,1
major,7,2,9
majoring,0,1,1
majority,1,0,1
majorly,1,0,1
makakasama,0,1,1
makayla,1,0,1
make,74,73,147
makeing,1,1,2
makeover,1,0,1
maker,2,1,3
makes,34,37,71
makeshift,0,1,1
makeup,2,0,2
makin,1,0,1
making,27,29,56
makiri,1,0,1
malachi,0,1,1
malaysia,0,2,2
malaysian,0,1,1
malbank,1,0,1
malcolm,0,1,1
maldives,1,0,1
male,1,1,2
malese,0,2,2
mall,3,2,5
malpractice,0,1,1
malt,0,1,1
maltese,0,1,1
malygos,0,1,1
mam,1,0,1
mama,2,1,3
mamenn,1,0,1
mammy,1,0,1
man,48,51,99
manage,3,3,6
manageable,0,1,1
managed,2,2,4
management,0,1,1
manager,1,0,1
managers,1,0,1
manchester,2,0,2
mandatory,2,1,3
mandy,1,2,3
mane,0,1,1
manech,0,1,1
manga,0,1,1
mangia,2,0,2
mango,3,1,4
manhattan,0,1,1
manhatten,0,1,1
mania,1,0,1
manicure,0,1,1
manila,0,1,1
manipulating,0,1,1
mankind,1,0,1
manly,1,1,2
mann,0,1,1
manner,0,1,1
mannerisms,0,1,1
mannies,0,1,1
mannn,0,1,1
mantlepiece,0,1,1
mantras,0,1,1
manual,0,1,1
manuals,0,1,1
manunitedvss,0,1,1
many,36,27,63
maotai,0,1,1
map,0,2,2
maple,0,1,1
marathon,1,2,3
marauding,1,0,1
marc,1,0,1
marciano,1,0,1
marcucci,1,0,1
margaret,1,0,1
margarita,1,0,1
maria,2,2,4
marie,0,1,1
marilyn,1,0,1
marine,1,0,1
mariners,0,1,1
marini,0,1,1
mario,0,3,3
mariusz,0,1,1
mark,2,2,4
market,4,3,7
marketeers,0,1,1
marketing,2,0,2
marketplace,1,0,1
marking,1,0,1
marks,1,0,1
marmalade,0,1,1
marnier,0,1,1
marothon,0,1,1
marrage,1,0,1
marraige,0,1,1
marriage,1,2,3
married,5,2,7
marriott,0,1,1
marrow,2,0,2
marry,7,4,11
mars,1,0,1
marshmallows,0,1,1
marshmellows,0,1,1
mart,1,2,3
martha,0,2,2
martin,1,2,3
martini,1,2,3
marv,0,1,1
marvel,1,0,1
marvellous,0,1,1
marvelous,0,1,1
marvin,1,1,2
marvvv,0,1,1
mary,1,5,6
maryland,1,0,1
mascara,1,0,1
mascot,0,1,1
masi,0,1,1
mask,0,1,1
masroof,1,0,1
mass,2,1,3
massa,1,0,1
massachusetts,0,1,1
massage,3,1,4
massaj,0,1,1
massieshiiza,1,0,1
massive,2,4,6
masyaa,0,1,1
match,2,3,5
matches,1,1,2
matching,0,1,1
mate,1,13,14
material,0,2,2
mates,0,3,3
matey,0,2,2
math,8,7,15
mathew,0,1,1
maths,0,3,3
matress,0,1,1
matrix,0,1,1
matt,0,2,2
matter,7,3,10
matters,0,2,2
matthew,1,1,2
mattie,0,1,1
mattress,0,1,1
mature,0,3,3
mau,0,2,2
mauresmo,1,0,1
mav,1,0,1
maven,0,2,2
maw,1,0,1
max,2,1,3
maxing,1,0,1
may,28,31,59
maya,0,1,1
mayb,0,1,1
maybe,26,64,90
mayday,1,0,1
mayer,0,2,2
mazing,0,1,1
mazzone,1,0,1
mb,3,0,3
mba,0,1,1
mbs,1,0,1
mbt,0,1,1
mc,0,2,2
mcauliffe,0,1,1
mcd,1,2,3
mcdonalds,1,0,1
mcentire,0,1,1
mcfly,1,3,4
mcgangbang,0,1,1
mcitp,1,0,1
mcm,2,0,2
mcmahon,8,0,8
mco,0,2,2
mcs,0,1,1
mcshep,0,1,1
md,0,1,1
me,492,454,946
meadows,1,0,1
meal,2,2,4
mean,15,32,47
meanie,1,0,1
meaning,3,1,4
meaningless,1,0,1
means,8,15,23
meant,1,6,7
meantime,0,2,2
meanwhile,0,1,1
meat,2,1,3
meatballs,1,1,2
meatloaf,0,1,1
mebbe,0,1,1
mechanic,1,0,1
mechscape,0,1,1
meck,0,1,1
med,2,1,3
media,2,7,9
mediatemple,0,1,1
medical,2,1,3
medicated,1,0,1
medication,2,0,2
medicinal,1,0,1
medicine,3,1,4
meditate,0,1,1
meditation,0,1,1
meditations,0,1,1
mediterranean,0,1,1
medium,0,2,2
meds,8,3,11
mee,3,2,5
meebo,0,1,1
meee,3,0,3
meeee,2,1,3
meeeeee,2,0,2
meegan,0,1,1
meeko,1,0,1
meerkats,1,0,1
meerut,1,0,1
meester,1,1,2
meet,10,18,28
meetin,1,0,1
meeting,16,16,32
meetings,1,2,3
meets,2,0,2
mef,0,1,1
